"nwspol","gender","age","married","urban","native","edulevel","polintr","poldeltag","paidwork"
45,1,51,1,1,1,"Kort/Mellemlang videregående",2,2,1
60,0,23,0,0,1,"Kort/Mellemlang videregående",2,2,1
30,0,46,1,0,1,"Kort/Mellemlang videregående",3,2,1
15,0,50,1,0,1,"Kort/Mellemlang videregående",2,2,0
60,0,71,0,0,1,"Erhvervsuddannelse",3,1,0
60,1,36,0,0,1,"Erhvervsuddannelse",2,4,1
10,1,64,0,0,1,"Erhvervsuddannelse",2,2,1
15,0,56,1,1,1,"Kort/Mellemlang videregående",3,1,1
15,0,75,1,0,1,"Grundskole",3,1,0
15,1,75,1,0,1,"Erhvervsuddannelse",3,3,0
10,0,25,1,0,1,"Erhvervsuddannelse",3,1,1
30,1,74,1,0,1,"Erhvervsuddannelse",4,1,0
60,1,64,1,0,1,"Erhvervsuddannelse",4,1,0
60,0,37,0,0,1,"Erhvervsuddannelse",3,1,1
30,1,77,0,1,1,"Erhvervsuddannelse",3,1,0
90,0,76,1,0,1,"Kort/Mellemlang videregående",2,1,0
120,0,83,1,0,1,"Erhvervsuddannelse",2,2,0
10,0,21,0,0,1,"Erhvervsuddannelse",2,3,1
90,0,45,0,0,1,"Kort/Mellemlang videregående",4,2,1
30,0,41,1,1,1,"Lang videregående",2,3,1
120,0,61,0,1,1,"Erhvervsuddannelse",1,3,0
180,0,86,0,0,1,"Kort/Mellemlang videregående",2,2,0
120,0,26,0,0,1,"Erhvervsuddannelse",3,2,1
20,1,37,0,0,1,"Lang videregående",1,2,1
60,1,32,0,1,1,"Lang videregående",2,4,1
60,1,73,1,0,1,"Erhvervsuddannelse",2,3,0
45,1,46,1,0,1,"Erhvervsuddannelse",3,2,1
90,0,59,1,0,1,"Lang videregående",2,1,0
60,1,72,1,1,1,"Lang videregående",2,3,0
60,1,55,1,0,0,"Lang videregående",3,2,1
60,1,70,1,0,1,"Kort/Mellemlang videregående",2,2,0
120,1,43,1,1,1,"Kort/Mellemlang videregående",2,3,1
60,1,42,1,1,1,"Kort/Mellemlang videregående",2,3,1
60,0,73,0,0,1,"Grundskole",3,2,0
60,0,59,1,0,1,"Erhvervsuddannelse",2,2,1
5,1,54,1,0,1,"Erhvervsuddannelse",3,2,1
120,0,59,1,0,1,"Kort/Mellemlang videregående",2,4,0
5,1,25,0,0,1,"Erhvervsuddannelse",3,1,1
30,0,34,1,1,1,"Lang videregående",3,2,1
30,1,70,0,0,1,"Erhvervsuddannelse",2,2,0
120,1,50,1,1,1,"Lang videregående",1,4,1
15,1,33,0,0,1,"Erhvervsuddannelse",3,3,0
45,1,55,1,0,1,"Kort/Mellemlang videregående",2,1,1
5,0,16,0,0,1,"Gymnasium",4,1,0
120,0,68,1,1,1,"Kort/Mellemlang videregående",2,3,0
120,1,77,0,0,1,"Grundskole",3,2,0
30,0,36,1,0,1,"Lang videregående",2,4,0
5,1,21,0,0,1,"Erhvervsuddannelse",3,2,1
30,1,56,0,0,1,"Erhvervsuddannelse",2,2,0
5,0,44,1,0,1,"Kort/Mellemlang videregående",3,1,1
70,0,49,1,0,1,"Lang videregående",3,2,1
120,0,83,0,0,1,"Grundskole",3,1,0
60,1,47,1,0,1,"Kort/Mellemlang videregående",2,2,1
60,1,57,1,0,1,"Erhvervsuddannelse",3,1,1
15,0,37,0,0,1,"Kort/Mellemlang videregående",2,2,1
120,0,66,1,1,1,"Erhvervsuddannelse",1,3,0
30,1,19,0,1,1,"Erhvervsuddannelse",2,3,1
45,0,28,0,1,1,"Kort/Mellemlang videregående",3,2,1
15,0,24,0,1,1,"Erhvervsuddannelse",4,2,1
60,1,56,0,1,1,"Erhvervsuddannelse",3,2,1
120,0,71,1,0,1,"Erhvervsuddannelse",2,1,0
90,1,70,1,1,1,"Lang videregående",2,3,0
60,0,17,0,1,1,"Gymnasium",2,3,1
120,1,65,1,1,1,"Kort/Mellemlang videregående",1,4,0
30,1,29,0,0,1,"Erhvervsuddannelse",2,2,1
60,0,69,1,0,1,"Kort/Mellemlang videregående",2,4,0
120,1,61,1,0,1,"Gymnasium",1,2,0
150,1,75,0,1,1,"Lang videregående",1,3,0
120,1,42,1,1,1,"Lang videregående",1,3,1
120,0,66,1,0,1,"Grundskole",2,1,0
120,1,74,1,0,1,"Lang videregående",2,2,0
60,1,52,1,1,1,"Lang videregående",3,2,1
30,0,57,1,0,1,"Kort/Mellemlang videregående",2,1,1
30,1,32,0,0,1,"Erhvervsuddannelse",2,2,1
30,0,58,1,1,0,"Kort/Mellemlang videregående",2,1,1
60,0,42,0,0,1,"Lang videregående",1,4,1
180,0,56,1,0,1,"Kort/Mellemlang videregående",2,2,1
60,1,73,0,0,1,"Gymnasium",2,2,0
15,0,30,0,1,1,"Lang videregående",2,2,1
30,0,72,0,0,1,"Kort/Mellemlang videregående",2,2,0
90,1,21,0,0,1,"Erhvervsuddannelse",2,3,1
30,0,50,1,1,1,"Lang videregående",1,5,1
60,1,46,0,0,1,"Kort/Mellemlang videregående",2,3,1
10,1,39,0,0,1,"Erhvervsuddannelse",4,2,1
180,0,76,1,0,1,"Kort/Mellemlang videregående",2,4,0
120,1,60,1,0,1,"Lang videregående",2,5,1
60,1,36,0,1,1,"Kort/Mellemlang videregående",3,2,1
45,0,35,0,1,1,"Lang videregående",1,5,0
60,1,33,1,0,1,"Erhvervsuddannelse",3,3,1
45,0,51,1,0,1,"Kort/Mellemlang videregående",2,1,1
60,1,72,1,0,1,"Kort/Mellemlang videregående",1,4,1
30,0,40,1,0,1,"Erhvervsuddannelse",4,1,1
60,1,67,1,0,1,"Kort/Mellemlang videregående",1,3,0
120,0,62,0,1,1,"Lang videregående",2,3,1
240,0,76,1,0,1,"Erhvervsuddannelse",2,1,0
240,0,82,1,1,1,"Lang videregående",4,2,0
20,0,42,0,0,1,"Kort/Mellemlang videregående",2,2,1
